,pal-1,tbx-8,tbx-9,elt-1,lin-26,nhr-25,elt-3,hnd-1,hlh-1,unc-120,scrt-1,vab-7,nob-1,cwn-1,mab-21
pal-1,1,1,1,0,0,0,0,0,0,0,0,0,0,-,-
tbx-8,1,1,1,0,1,1,0,-,0,0,0,-,1,-,-
tbx-9,1,1,1,0,1,1,0,-,0,0,0,-,1,-,-
elt-1,-,1,1,1,1,1,1,1,1,1,1,-,1,-,-
lin-26,1,-,-,1,1,0,0,1,1,-,-,0,-,-,-
nhr-25,-,1,1,0,1,0,-,0,1,-,-,0,-1,-,-
elt-3,1,1,1,1,0,-,0,-,1,-,1,-,-,-,-
hnd-1,1,-,-,-,-,-,-,1,1,1,0,1,1,-,-
hlh-1,1,1,1,1,1,-,-1,1,1,-1,-,1,-,-1,-
unc-120,1,0,0,1,1,1,-,-1,-1,-,-,1,1,-,-
scrt-1,-,-,-,-,1,-,1,0,-,1,-,1,1,-,-
vab-7,1,-,-,-,1,-,-,-1,0,-,1,1,1,-,-
nob-1,1,-,-,1,-,-1,0,1,-,-,-,-,1,-,-
cwn-1,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-
mab-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-